8
# of Base Pair	Mean Quality Score
0 	 30.952484060180197
1 	 30.499044089136824
2 	 34.04482996110068
3 	 35.16884184244629
4 	 35.30817094336719
5 	 38.49276816211438
6 	 37.447149858070986
7 	 37.89521264382459
finished plot
