8
# of Base Pair	Mean Quality Score
0 	 30.976799191326524
1 	 31.36712787796978
2 	 35.28588359094267
3 	 35.878557251175295
4 	 35.97782137532496
5 	 39.34549067316462
6 	 39.09700978592416
7 	 38.96810670301001
finished plot
